time (s), ch0 acceleration (g), ch1 acceleration (g)
0.845464,0.000446,0.000585
0.846461,-1.384764,1.319294
0.847458,-0.000062,0.000881
0.848455,-0.496097,1.165212
0.849452,0.000442,0.000621
0.850449,0.833281,-0.057378
0.851446,0.000147,0.000305
0.852443,1.415190,-1.238275
0.853440,0.000732,0.000375
0.854437,0.705236,-1.261987
0.855434,0.000298,0.000703
0.856431,-0.663041,-0.151588
0.857428,0.000301,0.000878
0.858425,-1.417898,1.097050
0.859422,-0.000003,0.001005
0.860419,-0.865359,1.352970
0.861416,0.000121,0.000643
0.862413,0.453999,0.372492
0.863410,0.000110,0.000732
0.864407,1.372541,-0.964260
0.865404,0.000571,-0.000033
0.866401,1.040979,-1.401041
0.867398,0.000534,0.000375
0.868395,-0.248970,-0.560352
0.869392,0.000139,0.000415
0.870389,-1.318449,0.778320
0.871386,0.000637,0.000074
0.872383,-1.159557,1.420191
0.873380,-0.000278,0.000436
